self.yaw: -2.3119821548461914
self.home: array('f', [-1.267073392868042, 6.374765396118164, 2.511545419692993])
shift: [0. 0. 0.]
apriltag bezier - count : 423,   delta_t : 16,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.07368612  6.40049839 -6.96474123]
apriltag bezier - count : 423,   delta_t : 17,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.07124245  6.39928198 -6.95553589]
apriltag bezier - count : 423,   delta_t : 18,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.07003665  6.39867449 -6.95093489]
apriltag bezier - count : 423,   delta_t : 19,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.06750858  6.39757729 -6.94158506]
apriltag bezier - count : 423,   delta_t : 20,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.06468809  6.39644861 -6.93215227]
apriltag bezier - count : 423,   delta_t : 21,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.06202829  6.3952651  -6.92285872]
apriltag bezier - count : 423,   delta_t : 22,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.06077659  6.39473772 -6.91821098]
apriltag bezier - count : 423,   delta_t : 23,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.05709243  6.39317036 -6.90440321]
apriltag bezier - count : 423,   delta_t : 24,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.05462086  6.39211464 -6.89529657]
apriltag bezier - count : 423,   delta_t : 25,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.05349183  6.3915987  -6.89066553]
apriltag bezier - count : 423,   delta_t : 26,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.05003273  6.38985252 -6.87655163]
apriltag bezier - count : 423,   delta_t : 27,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.04782879  6.38881302 -6.86699867]
apriltag bezier - count : 423,   delta_t : 28,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.04476333  6.38748884 -6.85197687]
apriltag bezier - count : 423,   delta_t : 29,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.04371476  6.38708591 -6.84670258]
apriltag bezier - count : 423,   delta_t : 30,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.04085135  6.38599634 -6.83099651]
apriltag bezier - count : 423,   delta_t : 31,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.03991294  6.38572502 -6.82578802]
apriltag bezier - count : 423,   delta_t : 32,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.03806961  6.38516665 -6.81532097]
apriltag bezier - count : 423,   delta_t : 33,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.03533173  6.38436985 -6.7997818 ]
apriltag bezier - count : 423,   delta_t : 34,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.03406143  6.38413858 -6.79435015]
apriltag bezier - count : 423,   delta_t : 35,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.03149939  6.3836503  -6.78348398]
apriltag bezier - count : 423,   delta_t : 36,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.02902472  6.38332748 -6.77255297]
apriltag bezier - count : 423,   delta_t : 37,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.02571082  6.38279772 -6.75592613]
apriltag bezier - count : 423,   delta_t : 38,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.02362347  6.38248062 -6.74458933]
apriltag bezier - count : 423,   delta_t : 39,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.02241683  6.38210344 -6.73885632]
apriltag bezier - count : 423,   delta_t : 40,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.01883531  6.3811183  -6.72129297]
apriltag bezier - count : 423,   delta_t : 41,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.01775634  6.38071299 -6.71539402]
apriltag bezier - count : 423,   delta_t : 42,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.01457882  6.37979746 -6.69754124]
apriltag bezier - count : 423,   delta_t : 43,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.01349056  6.37954617 -6.69149923]
apriltag bezier - count : 423,   delta_t : 44,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.01144969  6.3789444  -6.67911577]
apriltag bezier - count : 423,   delta_t : 45,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.0082866   6.37828827 -6.66023493]
apriltag bezier - count : 423,   delta_t : 46,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.0073123   6.37814093 -6.65392685]
apriltag bezier - count : 423,   delta_t : 47,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.00548744  6.37786436 -6.64124727]
apriltag bezier - count : 423,   delta_t : 48,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.00290871  6.37755156 -6.62186575]
apriltag bezier - count : 423,   delta_t : 49,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.0019381   6.37750292 -6.61514521]
apriltag bezier - count : 423,   delta_t : 50,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-0.99911159  6.3774066  -6.59515429]
apriltag bezier - count : 406,   delta_t : 1,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.99822837  6.37737989 -6.58854961]
