self.yaw: 1.146788239479065
self.home: array('f', [-6.515322208404541, 138.92196655273438, -48.82647705078125])
shift: [0. 0. 0.]
apriltag bezier - count : 944,   delta_t : 24,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.79117835 -2.13883686 -6.9769249 ]
apriltag bezier - count : 944,   delta_t : 25,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.7773298  -2.13165736 -6.96905994]
apriltag bezier - count : 944,   delta_t : 26,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.76799691 -2.12688398 -6.96364164]
apriltag bezier - count : 944,   delta_t : 27,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.75858831 -2.12212586 -6.95810175]
apriltag bezier - count : 944,   delta_t : 28,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.74434614 -2.11502147 -6.94956017]
apriltag bezier - count : 944,   delta_t : 29,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.73476756 -2.11032653 -6.94369555]
apriltag bezier - count : 944,   delta_t : 30,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.72026277 -2.10335326 -6.93465662]
apriltag bezier - count : 944,   delta_t : 31,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.71051133 -2.09874439 -6.92846537]
apriltag bezier - count : 944,   delta_t : 32,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.6957742  -2.09195423 -6.91885948]
apriltag bezier - count : 944,   delta_t : 33,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.68588209 -2.08758926 -6.91208601]
apriltag bezier - count : 944,   delta_t : 34,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.67607558 -2.0831368  -6.90567112]
apriltag bezier - count : 944,   delta_t : 35,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.66146898 -2.07639885 -6.89637375]
apriltag bezier - count : 944,   delta_t : 36,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.64675021 -2.06998253 -6.88631678]
apriltag bezier - count : 944,   delta_t : 37,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.63194513 -2.06391835 -6.87559605]
apriltag bezier - count : 944,   delta_t : 38,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.61707711 -2.05817962 -6.86429548]
apriltag bezier - count : 944,   delta_t : 39,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.60712922 -2.05452776 -6.85651731]
apriltag bezier - count : 944,   delta_t : 40,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.59218228 -2.04930043 -6.84448433]
apriltag bezier - count : 944,   delta_t : 41,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.58719206 -2.04762602 -6.84038544]
apriltag bezier - count : 944,   delta_t : 42,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.57219946 -2.04278803 -6.82789278]
apriltag bezier - count : 944,   delta_t : 43,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.56218719 -2.03972149 -6.81941175]
apriltag bezier - count : 944,   delta_t : 44,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.55217564 -2.03678632 -6.8108139 ]
apriltag bezier - count : 944,   delta_t : 45,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.5321244  -2.0291121  -6.79675341]
apriltag bezier - count : 944,   delta_t : 46,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.52711165 -2.02728772 -6.79313326]
apriltag bezier - count : 944,   delta_t : 47,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.50706553 -2.02031898 -6.77828503]
apriltag bezier - count : 944,   delta_t : 48,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.49204326 -2.01544642 -6.76682234]
apriltag bezier - count : 944,   delta_t : 49,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.48202705 -2.01236463 -6.75902367]
apriltag bezier - count : 944,   delta_t : 50,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.46701491 -2.00794387 -6.7471137 ]
apriltag bezier - count : 889,   delta_t : 1,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.46201694 -2.00651813 -6.74308014]
apriltag bezier - count : 889,   delta_t : 2,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.45202625 -2.00374627 -6.73493719]
apriltag bezier - count : 889,   delta_t : 3,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.43705428 -1.99977422 -6.72256041]
apriltag bezier - count : 889,   delta_t : 4,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.42708778 -1.99724722 -6.71421766]
apriltag bezier - count : 889,   delta_t : 5,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.41206133 -1.99251473 -6.70304394]
apriltag bezier - count : 889,   delta_t : 6,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.40203571 -1.98912835 -6.69597149]
apriltag bezier - count : 889,   delta_t : 7,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.38703108 -1.98422396 -6.68513775]
apriltag bezier - count : 889,   delta_t : 8,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.37713015 -1.98087025 -6.67725086]
apriltag bezier - count : 889,   delta_t : 9,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.36245918 -1.9755857  -6.66405869]
apriltag bezier - count : 889,   delta_t : 10,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.34799898 -1.96999097 -6.64923477]
apriltag bezier - count : 889,   delta_t : 11,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.33848321 -1.96609831 -6.63850021]
apriltag bezier - count : 889,   delta_t : 12,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.32906961 -1.96206963 -6.62715673]
apriltag bezier - count : 889,   delta_t : 13,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.31512308 -1.95576954 -6.60913992]
apriltag bezier - count : 889,   delta_t : 14,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.30136704 -1.94920957 -6.5901413 ]
apriltag bezier - count : 889,   delta_t : 15,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.29224503 -1.94444287 -6.57775974]
apriltag bezier - count : 889,   delta_t : 16,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.2831502  -1.93933666 -6.5657959 ]
apriltag bezier - count : 889,   delta_t : 17,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.2696507  -1.93155837 -6.5474658 ]
apriltag bezier - count : 889,   delta_t : 18,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.26073885 -1.9263339  -6.53511477]
apriltag bezier - count : 889,   delta_t : 19,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.24747515 -1.91848135 -6.516572  ]
apriltag bezier - count : 889,   delta_t : 20,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.23435783 -1.91060555 -6.4981389 ]
apriltag bezier - count : 889,   delta_t : 21,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.22568297 -1.90535545 -6.48592234]
