self.yaw: 1.6196491718292236
self.home: array('f', [-0.005611014552414417, -0.0011992281069979072, 0.3003987669944763])
apriltag bezier - count : 937,   delta_t : 19,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12871374 -0.06141536 -7.7064786 ]
apriltag bezier - count : 937,   delta_t : 20,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12728041 -0.05943897 -7.69856644]
apriltag bezier - count : 937,   delta_t : 21,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12613942 -0.05822443 -7.69293165]
apriltag bezier - count : 937,   delta_t : 22,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12418459 -0.05657567 -7.68394327]
apriltag bezier - count : 937,   delta_t : 23,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12272918 -0.05559678 -7.67760372]
apriltag bezier - count : 937,   delta_t : 24,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12115414 -0.05471187 -7.67100811]
apriltag bezier - count : 937,   delta_t : 25,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.11971107 -0.05281267 -7.66273022]
apriltag bezier - count : 937,   delta_t : 26,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12017046 -0.0497361  -7.65774202]
apriltag bezier - count : 937,   delta_t : 27,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12028013 -0.04789995 -7.65379524]
apriltag bezier - count : 937,   delta_t : 28,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12017561 -0.04548761 -7.64695835]
apriltag bezier - count : 937,   delta_t : 29,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.11993822 -0.04410345 -7.64182377]
apriltag bezier - count : 937,   delta_t : 30,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.11936996 -0.04233426 -7.63331556]
apriltag bezier - count : 937,   delta_t : 31,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.11885645 -0.04136207 -7.62715197]
