self.yaw: -3.1401572227478027
self.home: array('f', [-0.29942286014556885, 0.6769797205924988, -12.380651473999023])
apriltag bezier - count : 598,   delta_t : 40,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40465364   0.62910664 -21.85577202]
apriltag bezier - count : 598,   delta_t : 41,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40391663   0.62976873 -21.84691429]
apriltag bezier - count : 598,   delta_t : 42,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40320268   0.63046509 -21.83816528]
apriltag bezier - count : 598,   delta_t : 43,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40265921   0.63110173 -21.82963753]
apriltag bezier - count : 598,   delta_t : 44,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40184003   0.63160843 -21.82104874]
apriltag bezier - count : 598,   delta_t : 45,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40078387   0.63205445 -21.81221962]
apriltag bezier - count : 598,   delta_t : 46,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.39993867   0.63246977 -21.80332947]
apriltag bezier - count : 598,   delta_t : 47,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.39917621   0.63285226 -21.7945919 ]
apriltag bezier - count : 598,   delta_t : 48,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.39826223   0.6331982  -21.78587914]
apriltag bezier - count : 598,   delta_t : 49,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.39742029   0.63352668 -21.77727509]
apriltag bezier - count : 598,   delta_t : 50,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.3966409    0.63381356 -21.76857948]
apriltag bezier - count : 583,   delta_t : 1,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.39630273   0.63397539 -21.7640667 ]
apriltag bezier - count : 583,   delta_t : 2,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.39515823   0.63441592 -21.75045013]
apriltag bezier - count : 583,   delta_t : 3,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.39427152   0.63468611 -21.74148941]
apriltag bezier - count : 583,   delta_t : 4,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.39387155   0.63482738 -21.73700905]
