self.yaw: -2.778215169906616
self.home: array('f', [0.0726923793554306, 0.6359039545059204, 3.1788148880004883])
edge case - count_goal : 489,   delta_t_goal : 118,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.06649075  0.62407386 -5.73489809]
edge case - count_goal : 489,   delta_t_goal : 119,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.06761646  0.62244141 -5.72006178]
edge case - count_goal : 489,   delta_t_goal : 120,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.06856903  0.62091643 -5.70514202]
edge case - count_goal : 489,   delta_t_goal : 121,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.06887094  0.6201306  -5.69767666]
edge case - count_goal : 489,   delta_t_goal : 122,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.06998322  0.61790693 -5.67532873]
edge case - count_goal : 489,   delta_t_goal : 123,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.07069991  0.61638469 -5.66028214]
edge case - count_goal : 489,   delta_t_goal : 124,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.07163791  0.61478603 -5.64507103]
edge case - count_goal : 489,   delta_t_goal : 125,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.07259452  0.61328506 -5.6297369 ]
edge case - count_goal : 489,   delta_t_goal : 126,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.07353316  0.61175823 -5.61432505]
edge case - count_goal : 489,   delta_t_goal : 127,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.07456893  0.6101616  -5.59871674]
edge case - count_goal : 489,   delta_t_goal : 128,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.07560188  0.60872436 -5.5829525 ]
edge case - count_goal : 489,   delta_t_goal : 129,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.07661034  0.6072588  -5.56695461]
edge case - count_goal : 489,   delta_t_goal : 130,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.07779215  0.60584176 -5.55083895]
edge case - count_goal : 489,   delta_t_goal : 131,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.07840534  0.60519969 -5.54273272]
edge case - count_goal : 489,   delta_t_goal : 132,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.0800067   0.60304874 -5.51847267]
edge case - count_goal : 489,   delta_t_goal : 133,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.08110949  0.60165286 -5.50212574]
edge case - count_goal : 489,   delta_t_goal : 134,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.08175628  0.60101193 -5.49384356]
edge case - count_goal : 489,   delta_t_goal : 135,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.08356676  0.59908974 -5.468853  ]
edge case - count_goal : 489,   delta_t_goal : 136,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.0841388   0.59842074 -5.46051502]
edge case - count_goal : 489,   delta_t_goal : 137,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.08595085  0.59632683 -5.43547201]
edge case - count_goal : 489,   delta_t_goal : 138,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.08738981  0.5949617  -5.41870022]
edge case - count_goal : 489,   delta_t_goal : 139,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.08890426  0.59370345 -5.40188313]
edge case - count_goal : 489,   delta_t_goal : 140,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.08959395  0.59305191 -5.39346552]
