self.yaw: -3.0998754501342773
self.home: array('f', [3.942152738571167, -2.698303461074829, 1.8055087327957153])
apriltag bezier - count : 398,   delta_t : 18,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.93475294 -2.76436377 -7.2139926 ]
apriltag bezier - count : 398,   delta_t : 19,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.93593931 -2.76417923 -7.20023489]
apriltag bezier - count : 398,   delta_t : 20,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.93717599 -2.76405954 -7.18641853]
apriltag bezier - count : 398,   delta_t : 21,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.93836594 -2.76393771 -7.172616  ]
apriltag bezier - count : 398,   delta_t : 22,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.93896985 -2.76383638 -7.1657095 ]
apriltag bezier - count : 398,   delta_t : 23,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94023061 -2.76355433 -7.14453316]
apriltag bezier - count : 398,   delta_t : 24,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94095993 -2.76347828 -7.13059807]
apriltag bezier - count : 398,   delta_t : 25,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94176912 -2.76362562 -7.1168623 ]
apriltag bezier - count : 398,   delta_t : 26,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94212651 -2.7637167  -7.1100173 ]
apriltag bezier - count : 398,   delta_t : 27,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94274855 -2.76393294 -7.09625626]
apriltag bezier - count : 398,   delta_t : 28,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94362497 -2.76409936 -7.0755887 ]
apriltag bezier - count : 398,   delta_t : 29,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94439316 -2.76388597 -7.06150484]
apriltag bezier - count : 398,   delta_t : 30,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94523311 -2.76361942 -7.04750776]
apriltag bezier - count : 398,   delta_t : 31,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94594026 -2.76324487 -7.03361273]
apriltag bezier - count : 398,   delta_t : 32,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94657421 -2.76283956 -7.01987362]
apriltag bezier - count : 398,   delta_t : 33,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94743967 -2.76302385 -7.00560045]
apriltag bezier - count : 398,   delta_t : 34,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94835019 -2.76317883 -6.99142694]
