self.yaw: 0.7612762451171875
self.home: array('f', [-2.024801015853882, -0.8822138905525208, -3.898160934448242])
apriltag bezier - count : 822,   delta_t : 44,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.22074318 -0.04873531 -7.93928337]
apriltag bezier - count : 822,   delta_t : 45,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.22599888 -0.04746651 -7.92851448]
apriltag bezier - count : 822,   delta_t : 46,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.23417997 -0.04615881 -7.91309977]
apriltag bezier - count : 822,   delta_t : 47,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.23980331 -0.04567406 -7.90324593]
apriltag bezier - count : 822,   delta_t : 48,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.24847984 -0.0455085  -7.88899755]
apriltag bezier - count : 822,   delta_t : 49,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.25436783 -0.04393773 -7.87720585]
apriltag bezier - count : 822,   delta_t : 50,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.26031303 -0.04092639 -7.86322165]
apriltag bezier - count : 741,   delta_t : 1,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.26942205 -0.0371581  -7.84308481]
apriltag bezier - count : 741,   delta_t : 2,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.27872896 -0.03428122 -7.8240056 ]
apriltag bezier - count : 741,   delta_t : 3,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.28503752 -0.03284292 -7.81186438]
apriltag bezier - count : 741,   delta_t : 4,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.29464769 -0.0313902  -7.79436159]
apriltag bezier - count : 741,   delta_t : 5,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.30112171 -0.03084406 -7.78289986]
apriltag bezier - count : 741,   delta_t : 6,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.31090498 -0.03055127 -7.76543045]
apriltag bezier - count : 741,   delta_t : 7,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.31746054 -0.03068187 -7.7534337 ]
apriltag bezier - count : 741,   delta_t : 8,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.32403088 -0.03106464 -7.74117994]
apriltag bezier - count : 741,   delta_t : 9,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.33391047 -0.03208438 -7.72239017]
apriltag bezier - count : 741,   delta_t : 10,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.34452772 -0.02937505 -7.69610691]
apriltag bezier - count : 741,   delta_t : 11,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.35158014 -0.02798075 -7.67874527]
apriltag bezier - count : 741,   delta_t : 12,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.3620863  -0.02647472 -7.65309954]
apriltag bezier - count : 741,   delta_t : 13,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.36903906 -0.02586964 -7.63660288]
apriltag bezier - count : 741,   delta_t : 14,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.37937355 -0.02553299 -7.61307907]
apriltag bezier - count : 741,   delta_t : 15,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.38619423 -0.0256823  -7.59823847]
apriltag bezier - count : 741,   delta_t : 16,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.39294291 -0.02611476 -7.58400011]
apriltag bezier - count : 741,   delta_t : 17,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.40292168 -0.02724287 -7.56384563]
apriltag bezier - count : 741,   delta_t : 18,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.41269922 -0.02889389 -7.54501486]
apriltag bezier - count : 741,   delta_t : 19,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.41909742 -0.03025783 -7.53310394]
apriltag bezier - count : 741,   delta_t : 20,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.42930984 -0.03097771 -7.51237106]
apriltag bezier - count : 741,   delta_t : 21,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.43623877 -0.03120727 -7.4980526 ]
apriltag bezier - count : 741,   delta_t : 22,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.44303751 -0.03169637 -7.48425913]
apriltag bezier - count : 741,   delta_t : 23,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.45298767 -0.03288958 -7.46464729]
apriltag bezier - count : 741,   delta_t : 24,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.45948029 -0.03397513 -7.4522481 ]
apriltag bezier - count : 741,   delta_t : 25,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.46900988 -0.03604151 -7.43450546]
apriltag bezier - count : 741,   delta_t : 26,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.47522545 -0.03770811 -7.42328739]
apriltag bezier - count : 741,   delta_t : 27,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.48435593 -0.04065054 -7.40730238]
