self.yaw: 3.046074867248535
self.home: array('f', [-0.4219454228878021, 2.5425403118133545, 3.854236364364624])
apriltag bezier - count : 415,   delta_t : 2,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.27029389  2.75026822 -5.73065329]
apriltag bezier - count : 415,   delta_t : 3,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.26368371  2.75075078 -5.72196627]
apriltag bezier - count : 415,   delta_t : 4,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.25717649  2.751261   -5.71327114]
apriltag bezier - count : 415,   delta_t : 5,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.25066301  2.75174928 -5.70448828]
apriltag bezier - count : 415,   delta_t : 6,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.24448837  2.75220656 -5.69562769]
apriltag bezier - count : 415,   delta_t : 7,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.23815225  2.75252128 -5.68664169]
apriltag bezier - count : 415,   delta_t : 8,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.2316993   2.75278187 -5.6776166 ]
apriltag bezier - count : 415,   delta_t : 9,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.225196    2.75295544 -5.66862488]
apriltag bezier - count : 415,   delta_t : 10,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.21859646  2.75311613 -5.65936327]
apriltag bezier - count : 415,   delta_t : 11,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.21210159  2.75314832 -5.6497345 ]
apriltag bezier - count : 415,   delta_t : 12,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.2058109   2.75326109 -5.64000273]
apriltag bezier - count : 415,   delta_t : 13,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.19950931  2.75360131 -5.63020182]
apriltag bezier - count : 415,   delta_t : 14,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.19338265  2.75380874 -5.62018394]
apriltag bezier - count : 415,   delta_t : 15,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.1871807   2.75396323 -5.61003304]
apriltag bezier - count : 415,   delta_t : 16,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.18084086  2.754076   -5.59970903]
apriltag bezier - count : 415,   delta_t : 17,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.17466989  2.75417829 -5.58926725]
apriltag bezier - count : 415,   delta_t : 18,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.16919003  2.75474072 -5.57883835]
apriltag bezier - count : 415,   delta_t : 19,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.16370255  2.75521851 -5.56825209]
apriltag bezier - count : 415,   delta_t : 20,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.15806746  2.75587177 -5.55763531]
apriltag bezier - count : 415,   delta_t : 21,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.15253541  2.7565043  -5.54703379]
apriltag bezier - count : 415,   delta_t : 22,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.1470973   2.75705242 -5.53649998]
apriltag bezier - count : 415,   delta_t : 23,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.14215267  2.75765657 -5.52585411]
apriltag bezier - count : 415,   delta_t : 24,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.13722426  2.75821614 -5.51503754]
apriltag bezier - count : 415,   delta_t : 25,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.13242811  2.758883   -5.50417566]
apriltag bezier - count : 415,   delta_t : 26,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.12753269  2.75953889 -5.49329472]
